Node Name,Relevant TO,Sheets,Voltage (Derived),Site Name,latitude,longitude,Full Name
GARB1S,"SHET, SPT","B-2-1a, B-2-1b, B-2-2a",132,GARELOCH BOUNDARY,,,GARELOCH BOUNDARY 132kV
GARB1S,"SHET, SPT","B-2-1a, B-2-1b, B-2-2a",132,GARELOCH BOUNDARY,,,GARELOCH BOUNDARY 132kV
GARB1T,"SHET, SPT","B-2-1a, B-2-1b, B-2-2a",132,GARELOCH BOUNDARY,,,GARELOCH BOUNDARY 132kV
GARB1T,"SHET, SPT","B-2-1a, B-2-1b, B-2-2a",132,GARELOCH BOUNDARY,,,GARELOCH BOUNDARY 132kV
GARE1S,SPT,B-2-1b,132,GARELOCH,56.08399425,-4.83098465,GARELOCH 132kV
GARE1T,SPT,B-2-1b,132,GARELOCH,56.08399425,-4.83098465,GARELOCH 132kV
GART4A,NGET,B-2-1c,400,GARTH CABLE COMPOUND,53.6437,-0.7254893,GARTH CABLE COMPOUND 400kV
GART4B,NGET,"B-2-1c, B-2-2c",400,GARTH CABLE COMPOUND,53.6437,-0.7254893,GARTH CABLE COMPOUND 400kV
GAWH1Q,SPT,"B-2-1b, B-2-2b, B-3-1b",132,GALAWHISTLE,55.562523,-3.946686,GALAWHISTLE 132kV
GAWH3-,SPT,"B-2-1b, B-3-1b",33,GALAWHISTLE,55.562523,-3.946686,GALAWHISTLE 33kV
GHPS1-,SPT,"B-2-2b, B-3-2b",132,GLENMUCKLOCH HYDRO PUMPED STORAGE,,,GLENMUCKLOCH HYDRO PUMPED STORAGE 132kV
GHPS3A,SPT,B-3-2b,33,GLENMUCKLOCH HYDRO PUMPED STORAGE,,,GLENMUCKLOCH HYDRO PUMPED STORAGE 33kV
GHPS3B,SPT,B-3-2b,33,GLENMUCKLOCH HYDRO PUMPED STORAGE,,,GLENMUCKLOCH HYDRO PUMPED STORAGE 33kV
GHPS4-,SPT,"B-2-2b, B-3-2b",400,GLENMUCKLOCH HYDRO PUMPED STORAGE,,,GLENMUCKLOCH HYDRO PUMPED STORAGE 400kV
GIFF2Q,SPT,"B-2-1b, B-3-1b, B-3-2b",275,GIFFNOCK,55.7979933,-4.29998783,GIFFNOCK 275kV
GIFF2R,SPT,"B-2-1b, B-3-1b, B-3-2b",275,GIFFNOCK,55.7979933,-4.29998783,GIFFNOCK 275kV
GIFF3A,SPT,"B-3-1b, B-3-2b",33,GIFFNOCK,55.7979933,-4.29998783,GIFFNOCK 33kV
GIFF3B,SPT,"B-3-1b, B-3-2b",33,GIFFNOCK,55.7979933,-4.29998783,GIFFNOCK 33kV
GILB1J,SHET,B-2-2a,132,GILLS BAY SUBSTATION,,,GILLS BAY SUBSTATION 132kV
GILB1K,SHET,B-2-2a,132,GILLS BAY SUBSTATION,,,GILLS BAY SUBSTATION 132kV
GILB1L,SHET,B-2-2a,132,GILLS BAY SUBSTATION,,,GILLS BAY SUBSTATION 132kV
GILB1M,SHET,B-2-2a,132,GILLS BAY SUBSTATION,,,GILLS BAY SUBSTATION 132kV
GLAG1Q,SHET,"B-2-1a, B-2-2a",132,GLENAGNES,56.46207,-2.996252,GLENAGNES 132kV
GLAG1R,SHET,"B-2-1a, B-2-2a",132,GLENAGNES,56.46207,-2.996252,GLENAGNES 132kV
