Site Name,Site Code,latitude,longitude,Verified?
GORW - GORDONBUSH WINDFARM Substation,GORW,58.114908,-3.957234,Yes
GOVA - GOVAN Substation,GOVA,55.854905,-4.316883,Yes
GRAI - Grain Substation,GRAI,51.4450543,0.7157852,Yes
GRAN - Grange Substation,GRAN,51.5629203,-3.7539296,Yes
GRAW - Grain West Substation,GRAW,51.45666,0.701111,Yes
GREN - Grendon Substation,GREN,52.2431171,-0.7289407,Yes
GRIW - Grimsby West Substation,GRIW,53.5652673,-0.152361,Yes
GRMO - GRANGEMOUTH Substation,GRMO,56.005047,-3.694644,Yes
GRNA - GRETNA Substation,GRNA,55.032228,-3.052049,Yes
Unknown - from ETYS,GRSA,54.566021,-1.123563,Yes
Unknown - from ETYS,GRSB,54.566021,-1.123563,Yes
GRST - Greystones Substation,GRST,54.5752847,-1.1247447,Yes
GRTO - Grangetown Substation,GRTO,54.5805217,-1.1487554,Yes
GUNS - GUNFLEET SANDS OFFSHORE Substation,GUNS,51.252201,-0.884545,Yes
GWYNEDD,GWYN,53.180981,-4.148713,Yes
GWYO - GWYNT-Y-MOR ONSHORE Substation,GWYO,53.297567,-3.5722,Yes
HACK - Hackney Substation,HACK,51.5589262,-0.0443504,Yes
HADH - HADYARD HILL Substation,HADH,55.250427,-4.707509,Yes
HAGR - HAGGS ROAD Substation,HAGR,55.828558,-4.295503,Yes
HAKB - Harker Boundary Node,HAKB,55.030361,-3.033059,Yes
Unknown - from ETYS,HAMB,53.8788231,-2.9878141,Yes
HAMH - Hams Hall Substation,HAMH,52.5309938,-1.7142918,Yes
HARE - HARESTANES Substation,HARE,55.264258,-3.560821,Yes
HARG - Harker Gis Substation,HARG,54.942014,-2.962722,Yes
HARI - HARRIS Substation,HARI,57.845931,-6.830434,Yes
HARK - Harker Substation,HARK,54.9410775,-2.9615709,Yes
HARM - Hartmoor Substation,HARM,54.7005081,-1.2920325,Yes
HATL - Hartlepool Substation,HATL,54.6356729,-1.1832389,Yes
HAWI - HAWICK Substation,HAWI,55.433061,-2.801475,Yes
HAWP - Hawthorn Pit Substation,HAWP,54.8053626,-1.403082,Yes
HEDO - Hedon Substation,HEDO,53.7475082,-0.2343553,Yes
HELE - HELENSBURGH Substation,HELE,56.022599,-4.708721,Yes
HEND - Hendon Substation,HEND,51.594816,-0.2582889,Yes
HEYS - Heysham Substation,HEYS,54.032282,-2.8911079,Yes
HIBU - Highbury Substation,HIBU,51.5613916,-0.1136958,Yes
HIGM - High Marnham Substation,HIGM,53.2279517,-0.7957371,Yes
HIGH MARNHAM SUBSTATION-B,HIMB,53.2279517,-0.7957371,Yes
HINP - Hinkley Point  Substation,HINP,51.207773,-3.127703,Yes
